1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
0	-0.000000	627.201626	0.000000	1787.5
1	-0.229487	623.504937	0.014603	3.9
2	-0.503625	619.865785	0.005405	3.9
3	-0.264403	616.282728	0.003210	4.0
4	-0.443732	612.754375	0.007712	3.9
5	-0.000000	609.279381	0.000000	4.0
6	-0.454020	605.856447	0.005427	3.9
7	-0.695227	602.484317	0.006349	4.0
8	-1.096031	599.161779	0.013599	4.1
9	-1.123341	595.887656	0.012305	4.0
10	0.000000	592.660813	0.000000	3.9
11	-0.575901	589.480151	0.010965	3.9
12	-1.103156	586.344606	0.009551	3.9
13	-0.456327	583.253145	0.013395	3.9
14	-0.065082	580.204771	0.001733	3.8
15	-0.455019	577.198517	0.003600	3.7
16	-0.518779	574.233444	0.006949	3.6
17	0.000000	571.308645	0.000000	3.7
18	-0.758767	568.423237	0.007034	3.6
19	-0.085132	565.576365	0.001930	3.6
20	-0.678590	562.767201	0.007909	4.0
21	0.000000	559.994938	0.000000	4.1
22	-0.218780	557.258797	0.001085	3.9
23	-0.273493	554.558018	0.007633	3.9
24	-0.799704	551.891865	0.011400	4.1
25	0.000000	549.259621	0.000000	3.9
26	-0.316868	546.660592	0.008192	3.9
27	-0.418659	544.094102	0.006386	3.9
28	-1.214442	541.559494	0.006522	4.0
29	-0.000009	539.056129	0.000014	4.0
30	-0.536693	536.583387	0.003910	3.9
31	-0.517112	534.140663	0.009322	3.9
32	-0.507230	531.727370	0.004106	3.9
33	-1.112710	529.342935	0.005007	3.9
34	0.000000	526.986802	0.000000	3.9
35	-0.134289	524.658430	0.002035	3.6
36	0.000000	522.357290	0.000000	3.7
37	0.000000	520.082868	0.000000	3.9
38	-0.419927	517.834665	0.009047	4.0
39	0.000000	515.612193	0.000000	4.0
40	-0.846789	513.414976	0.005635	4.0
41	-0.689790	511.242551	0.008874	3.9
42	-0.717621	509.094468	0.009866	4.0
43	-0.696449	506.970285	0.013212	3.9
44	-0.732023	504.869574	0.009034	4.5
45	0.000000	502.791916	0.000000	3.6
46	-0.000000	500.736903	0.000000	5.2
47	-0.770935	498.704137	0.020065	3.8
48	-0.661107	496.693228	0.020518	4.4
49	-1.149077	494.703798	0.007978	3.7
50	-0.425771	492.735476	0.003800	3.9
51	-0.007127	490.787900	0.000319	3.7
52	-0.000000	488.860718	0.000000	4.1
53	-0.069329	486.953585	0.001677	4.1
54	-0.004812	485.066164	0.000490	4.0
55	-0.147014	483.198126	0.001633	4.0
56	0.000000	481.349149	0.000000	3.8
57	-0.763978	479.518920	0.009636	3.9
58	-0.308401	477.707132	0.005144	3.7
59	-0.273993	475.913485	0.006295	4.1
60	-0.618115	474.137684	0.017707	3.8
61	-0.967346	472.379445	0.016538	3.7
62	-0.829211	470.638485	0.009853	5.1
63	-1.074116	468.914531	0.005988	4.4
64	-0.092885	467.207315	0.001183	3.7
65	-0.596799	465.516573	0.010276	5.0
66	-0.575121	463.842050	0.013537	3.9
67	-0.902307	462.183494	0.010719	4.5
68	-0.594373	460.540658	0.006337	4.1
69	-0.000000	458.913303	0.000000	3.8
70	-0.782239	457.301192	0.018608	3.8
71	0.000000	455.704096	0.000000	4.0
72	-0.553543	454.121787	0.029366	4.0
73	-0.135926	452.554045	0.002203	4.0
74	-0.158141	451.000653	0.002211	4.0
75	-0.264040	449.461399	0.003049	3.8
76	-0.000000	447.936075	0.000000	3.9
77	-0.313224	446.424477	0.008943	5.1
78	-0.000557	444.926406	0.000032	4.0
79	-0.971033	443.441666	0.012828	4.0
80	-0.572386	441.970065	0.011954	3.9
81	-0.946135	440.511415	0.029961	3.9
82	0.000000	439.065533	0.000000	4.0
83	-0.323624	437.632238	0.005183	3.9
84	-0.217419	436.211351	0.021400	4.0
85	-0.246021	434.802701	0.000932	3.8
86	-0.153455	433.406117	0.007104	3.9
87	-0.015400	432.021430	0.001375	3.9
88	-0.563260	430.648479	0.005405	3.6
89	-0.414178	429.287101	0.005721	3.7
90	-0.635901	427.937140	0.010747	3.9
91	-0.000000	426.598440	0.000000	3.9
92	0.000000	425.270849	0.000000	4.5
93	0.000000	423.954220	0.000000	3.6
94	0.000000	422.648404	0.000000	3.9
95	-0.305063	421.353259	0.012762	3.9
96	0.000000	420.068643	0.000000	3.9
97	-0.575235	418.794419	0.007881	3.9
98	-0.318666	417.530451	0.004212	3.6
99	-0.000102	416.276604	0.000002	3.7
100	0.000000	415.032748	0.000000	3.8
101	0.000000	413.798754	0.000000	3.7
102	-0.340049	412.574495	0.009588	4.0
103	0.000000	411.359849	0.000000	3.7
104	0.000000	410.154691	0.000000	3.8
105	-0.333523	408.958904	0.004598	3.7
106	0.000000	407.772368	0.000000	3.7
107	0.000000	406.594968	0.000000	5.1
108	-0.841372	405.426590	0.007329	3.8
109	-0.780824	404.267122	0.017887	4.6
110	-0.512056	403.116456	0.003877	4.0
111	-0.883975	401.974481	0.022483	4.0
112	-0.444439	400.841093	0.005163	4.7
113	-1.091974	399.716187	0.003378	4.0
114	0.000000	398.599660	0.000000	4.9
115	-0.002058	397.491411	0.000007	4.0
116	0.000000	396.391342	0.000000	4.1
117	-0.364703	395.299353	0.011593	4.9
118	-0.595040	394.215350	0.006496	4.1
119	0.000000	393.139238	0.000000	5.0
120	0.000000	392.070924	0.000000	4.2
121	-0.503849	391.010316	0.005129	4.1
122	-0.171620	389.957325	0.006273	4.2
123	-0.687944	388.911862	0.007999	4.5
124	-0.220552	387.873839	0.003058	5.1
125	-0.733627	386.843173	0.013835	4.2
126	-0.348155	385.819777	0.011107	5.5
127	-1.014102	384.803569	0.013018	4.3
128	0.000000	383.794468	0.000000	4.6
129	-0.577252	382.792393	0.005767	4.0
130	0.000000	381.797264	0.000000	3.9
131	0.000000	380.809005	0.000000	3.9
132	-0.454348	379.827537	0.010973	4.0
133	-0.409683	378.852786	0.004243	3.9
134	-0.790763	377.884678	0.007555	4.0
135	-0.307048	376.923138	0.004343	4.1
136	-0.000000	375.968095	0.000000	4.0
137	-1.151896	375.019479	0.018135	4.0
138	-0.908364	374.077218	0.008595	4.4
139	-0.249138	373.141244	0.009905	3.8
140	-0.558490	372.211489	0.006594	5.2
141	-0.913289	371.287887	0.017231	3.7
142	0.000000	370.370370	0.000000	3.8
143	-0.164189	369.458876	0.003407	4.0
144	-0.162962	368.553338	0.001716	3.9
145	-0.000000	367.653696	0.000000	3.9
146	-0.410800	366.759885	0.011091	4.6
147	-0.806793	365.871846	0.007313	4.1
148	-0.668094	364.989518	0.006113	4.4
149	-1.124849	364.112841	0.006770	4.0
150	-0.889785	363.241757	0.004547	4.3
151	-0.073330	362.376208	0.001360	4.6
152	-0.000000	361.516137	0.000000	4.4
153	-0.000000	360.661488	0.000000	4.5
154	0.000000	359.812206	0.000000	5.2
155	-0.769570	358.968236	0.008726	3.9
156	-0.106792	358.129524	0.001308	4.4
157	0.000000	357.296018	0.000000	4.1
158	-0.267196	356.467665	0.004200	5.1
159	-0.617256	355.644414	0.015761	4.3
160	-0.792140	354.826213	0.007716	3.9
161	-0.900393	354.013012	0.009359	3.8
162	-1.066082	353.204763	0.004186	4.7
163	0.000000	352.401415	0.000000	4.0
164	-0.157255	351.602922	0.004625	4.5
165	-0.857315	350.809235	0.008894	4.8
166	-0.885723	350.020308	0.010592	4.1
167	0.000000	349.236095	0.000000	4.1
168	-0.480395	348.456550	0.016295	3.9
169	-0.000001	347.681627	0.000000	3.8
170	0.000000	346.911283	0.000000	4.7
171	-0.737254	346.145474	0.015687	3.8
172	-1.027284	345.384157	0.021466	4.0
173	-0.095491	344.627288	0.001556	3.8
174	-0.484861	343.874826	0.005208	3.9
175	-0.503842	343.126729	0.006341	3.9
176	-0.201646	342.382957	0.004280	3.8
177	0.000000	341.643469	0.000000	4.0
178	-0.606896	340.908224	0.012038	3.9
179	-0.352667	340.177184	0.005398	3.9
180	0.000000	339.450309	0.000000	3.9
181	-0.000000	338.727561	0.000000	3.9
182	-0.556669	338.008902	0.003559	3.9
183	-0.694234	337.294295	0.015221	4.0
184	-0.516170	336.583703	0.009023	4.2
185	-0.000000	335.877089	0.000000	4.1
186	-0.000354	335.174416	0.000007	3.9
187	-0.876299	334.475651	0.004813	4.0
188	-0.000000	333.780756	0.000000	4.0
189	-0.698206	333.089698	0.014858	4.5
190	-0.832261	332.402443	0.026888	4.2
191	-0.738254	331.718955	0.005606	4.3
192	-1.170075	331.039203	0.008463	3.9
193	0.000000	330.363153	0.000000	4.4
194	-0.000000	329.690771	0.000000	4.2
195	-0.166015	329.022027	0.001517	4.3
196	-1.014432	328.356888	0.012354	5.0
197	-0.692522	327.695322	0.013268	4.8
198	-1.021667	327.037299	0.012507	5.1
199	-0.446729	326.382787	0.005665	4.2
200	-0.000426	325.731758	0.000079	5.7
201	0.000000	325.084179	0.000000	4.4
202	-0.637524	324.440023	0.006886	4.7
203	-0.348685	323.799258	0.007620	5.7
204	-0.187049	323.161858	0.001251	4.2
205	0.000000	322.527792	0.000000	5.1
206	-1.004871	321.897034	0.010833	4.6
207	-0.578519	321.269554	0.006110	4.3
208	-0.740818	320.645325	0.003775	4.1
209	-0.081065	320.024320	0.001040	3.9
210	0.000000	319.406512	0.000000	4.6
211	-0.413865	318.791875	0.008524	4.9
212	-0.264282	318.180381	0.005047	5.0
213	-0.634490	317.572005	0.007758	5.1
214	-0.247174	316.966721	0.003483	5.1
215	-0.633559	316.364504	0.006191	3.8
216	-0.131787	315.765329	0.001391	4.0
217	-0.898672	315.169170	0.013854	3.8
218	-0.522760	314.576003	0.011077	4.2
219	-0.100707	313.985804	0.001861	3.7
220	-0.217921	313.398548	0.008111	4.0
221	-0.302886	312.814213	0.007324	3.6
222	-0.571710	312.232773	0.017869	3.7
223	-1.033751	311.654207	0.006736	4.1
224	0.000000	311.078491	0.000000	3.7
225	0.000000	310.505602	0.000000	3.8
226	0.000000	309.935518	0.000000	3.8
227	-0.441450	309.368217	0.003587	3.7
228	0.000000	308.803676	0.000000	3.7
229	-0.307914	308.241874	0.004394	3.7
230	-0.260378	307.682789	0.006533	3.9
231	-0.650716	307.126400	0.008490	4.0
232	-0.372233	306.572687	0.005610	4.0
233	-0.000019	306.021627	0.000032	4.2
234	-1.080421	305.473201	0.016099	3.8
235	0.000000	304.927388	0.000000	4.0
236	-0.804237	304.384168	0.013835	4.0
237	-1.091561	303.843521	0.007412	4.0
238	-0.860870	303.305427	0.017087	3.9
239	-0.549688	302.769867	0.007071	4.0
240	-0.964132	302.236821	0.006583	4.0
241	-0.627422	301.706270	0.007766	4.0
242	-0.640504	301.178196	0.006665	4.0
243	-0.399817	300.652580	0.011260	4.0
244	-0.652706	300.129402	0.009244	4.1
245	-0.467633	299.608645	0.010621	4.8
246	0.000000	299.090291	0.000000	4.2
247	-0.705252	298.574321	0.009686	4.8
248	-0.494254	298.060718	0.007099	4.2
249	-0.000000	297.549465	0.000000	4.5
250	-1.117353	297.040543	0.010939	4.1
251	-0.797614	296.533936	0.019552	3.9
252	-0.785791	296.029626	0.019652	5.4
253	-0.752903	295.527597	0.004888	3.9
254	-0.636681	295.027832	0.015883	3.9
255	-0.532765	294.530315	0.004162	3.7
256	-0.875546	294.035028	0.022671	4.0
257	-0.001144	293.541956	0.000117	4.3
258	-0.772193	293.051083	0.016415	4.7
259	-1.116179	292.562393	0.012045	4.0
260	-0.357836	292.075870	0.006278	5.1
261	-0.915036	291.591498	0.012292	5.1
262	-0.063244	291.109263	0.000889	4.8
263	-0.213557	290.629149	0.003107	5.1
264	0.000000	290.151140	0.000000	4.2
265	-0.747688	289.675222	0.014790	4.7
266	-0.750236	289.201380	0.015794	3.9
267	-0.720474	288.729600	0.005360	4.8
268	-0.000000	288.259866	0.000000	4.0
269	0.000000	287.792165	0.000000	4.9
270	-0.375606	287.326481	0.002829	3.9
271	-0.999148	286.862802	0.009447	4.0
272	-0.425121	286.401113	0.008455	4.0
273	-0.613360	285.941400	0.014528	4.0
274	0.000000	285.483649	0.000000	4.0
275	-0.000000	285.027847	0.000000	3.9
276	-0.631989	284.573981	0.009379	4.0
277	-0.090053	284.122037	0.001509	3.9
278	0.000000	283.672002	0.000000	4.0
279	-0.000000	283.223863	0.000000	4.1
280	-0.437247	282.777607	0.008967	3.8
281	-0.771775	282.333221	0.020072	4.0
282	-0.000000	281.890692	0.000000	4.0
283	-0.797932	281.450008	0.002877	4.2
284	-0.833428	281.011157	0.014262	4.0
285	-0.000000	280.574125	0.000000	3.9
286	0.000000	280.138901	0.000000	4.0
287	-1.180419	279.705473	0.004642	3.8
288	0.000000	279.273829	0.000000	3.8
289	-0.000089	278.843956	0.000005	3.8
290	0.000000	278.415844	0.000000	3.9
291	0.000000	277.989479	0.000000	3.7
292	-0.003900	277.564851	0.000260	3.9
293	-0.000000	277.141949	0.000000	3.9
294	-0.633710	276.720761	0.009800	4.0
295	0.000000	276.301275	0.000000	4.3
296	-0.072162	275.883480	0.003265	4.4
297	-0.000000	275.467366	0.000000	4.4
298	-0.458832	275.052922	0.003037	5.1
299	0.000000	274.640136	0.000000	4.9
300	-0.008700	274.228998	0.002287	4.8
301	-0.000000	273.819497	0.000000	5.1
302	-1.002931	273.411623	0.008356	4.3
303	0.000000	273.005365	0.000000	4.2
304	-0.710060	272.600712	0.032719	4.8
305	-1.067517	272.197655	0.003790	4.2
306	0.000000	271.796184	0.000000	5.0
307	0.000000	271.396287	0.000000	4.2
308	-0.000000	270.997956	0.000000	5.1
309	-0.357462	270.601180	0.007563	4.8
310	-0.766742	270.205949	0.010709	3.9
311	-0.711363	269.812254	0.003591	5.1
312	0.000000	269.420085	0.000000	3.8
313	-0.344696	269.029432	0.005263	4.0
314	-0.004839	268.640287	0.000375	3.9
315	-0.133696	268.252638	0.009741	4.0
316	-0.288699	267.866478	0.008341	3.9
317	-0.895691	267.481796	0.011302	4.0
318	-0.007050	267.098584	0.000113	4.0
319	-0.760577	266.716833	0.005283	4.0
320	-0.674231	266.336533	0.004938	3.9
321	-0.895920	265.957676	0.011079	4.0
322	-0.413807	265.580253	0.006720	3.9
323	0.000000	265.204254	0.000000	3.9
324	-0.821873	264.829672	0.018993	3.9
325	-0.987236	264.456497	0.009037	3.9
326	0.000000	264.084721	0.000000	4.3
327	-0.388561	263.714335	0.005027	5.0
328	-0.967507	263.345332	0.010980	4.3
329	0.000000	262.977702	0.000000	3.8
330	-0.584256	262.611438	0.010328	3.8
331	-0.869684	262.246531	0.008677	4.0
332	-0.488051	261.882973	0.018797	3.9
333	-0.183489	261.520756	0.004980	4.4
334	-0.199652	261.159871	0.006299	3.9
335	-0.267558	260.800312	0.003101	4.6
336	-0.310354	260.442070	0.006237	4.0
337	-1.120518	260.085137	0.010259	4.1
338	-0.806134	259.729505	0.009307	4.5
339	0.000000	259.375167	0.000000	4.1
