1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
143	-0.000000	369.458876	0.000000	6.3
144	-0.357873	368.553338	0.005308	6.3
145	-0.000000	367.653696	0.000000	4.8
146	-0.762902	366.759885	0.012241	4.8
147	-0.000000	365.871846	0.000000	6.1
148	-0.276439	364.989518	0.002527	5.1
149	-0.279298	364.112841	0.006779	4.6
150	-1.024795	363.241757	0.005100	5.3
151	-0.176687	362.376208	0.002678	5.1
152	-0.000000	361.516137	0.000000	4.5
153	-0.416254	360.661488	0.002509	4.4
154	-0.269680	359.812206	0.007836	4.3
155	-0.275076	358.968236	0.006978	4.8
156	-0.043975	358.129524	0.006514	4.2
157	-0.000000	357.296018	0.000000	4.0
158	-0.000000	356.467665	0.000000	4.0
159	-0.000000	355.644414	0.000000	4.1
160	-0.924262	354.826213	0.009600	4.2
161	-0.578209	354.013012	0.007603	4.3
162	-0.000000	353.204763	0.000000	4.3
163	-0.346890	352.401415	0.007677	4.2
164	-0.645200	351.602922	0.008606	4.1
165	-0.166827	350.809235	0.005570	4.0
166	-0.000000	350.020308	0.000000	4.2
167	-0.746570	349.236095	0.007759	4.2
168	-0.000000	348.456550	0.000000	4.2
169	-0.405902	347.681627	0.005294	4.2
170	-0.410476	346.911283	0.007282	4.9
171	-0.679538	346.145474	0.006910	4.9
172	-0.000000	345.384157	0.000000	4.7
173	-0.000000	344.627288	0.000000	5.1
174	-0.331452	343.874826	0.004914	5.3
175	-0.553807	343.126729	0.007611	5.7
176	-0.296453	342.382957	0.004732	5.9
177	-0.593921	341.643469	0.007094	5.8
178	-0.000000	340.908224	0.000000	6.2
179	-0.230613	340.177184	0.002980	4.8
180	-0.000000	339.450309	0.000000	6.0
181	-0.000000	338.727561	0.000000	6.0
182	-0.000000	338.008902	0.000000	6.1
183	-0.341573	337.294295	0.007143	4.9
184	-0.265348	336.583703	0.002040	4.8
185	-0.265503	335.877089	0.006793	5.3
186	-0.000000	335.174416	0.000000	5.1
187	-0.889051	334.475651	0.010789	5.8
188	-0.000000	333.780756	0.000000	5.0
189	-0.000000	333.089698	0.000000	4.8
190	-0.110439	332.402443	0.002820	5.3
191	-0.610638	331.718955	0.007898	4.3
192	-0.013189	331.039203	0.000693	4.7
193	-0.377246	330.363153	0.004691	4.1
194	-0.625847	329.690771	0.007309	4.9
195	-0.283488	329.022027	0.004293	5.1
196	-0.000000	328.356888	0.000000	4.8
197	-0.403315	327.695322	0.002977	4.1
198	-0.437886	327.037299	0.005553	4.2
199	-0.705033	326.382787	0.008693	4.3
200	-0.437197	325.731758	0.005252	4.2
201	-0.342636	325.084179	0.005750	3.9
202	-0.000000	324.440023	0.000000	3.9
203	-0.000000	323.799258	0.000000	4.1
204	-0.443438	323.161858	0.013158	4.1
205	-0.914193	322.527792	0.008927	4.1
206	-0.244266	321.897034	0.003510	4.1
207	-0.700208	321.269554	0.006477	4.1
208	-0.132241	320.645325	0.002010	4.2
209	-0.489501	320.024320	0.006249	4.2
210	-0.481071	319.406512	0.005730	4.8
211	-0.000000	318.791875	0.000000	5.7
212	-0.591160	318.180381	0.004469	4.8
213	-1.008103	317.572005	0.011413	5.7
214	-0.618519	316.966721	0.004772	5.6
215	-0.470969	316.364504	0.005515	5.8
216	-0.000000	315.765329	0.000000	5.8
217	-0.000000	315.169170	0.000000	5.5
218	-0.000000	314.576003	0.000000	5.4
219	-0.023809	313.985804	0.000725	5.5
220	-0.460708	313.398548	0.003309	4.8
221	-0.903752	312.814213	0.004087	4.9
222	-0.000000	312.232773	0.000000	5.8
223	0.000000	311.654207	0.000000	4.8
224	-0.070132	311.078491	0.000912	6.2
225	-0.356934	310.505602	0.007800	4.8
226	-1.011140	309.935518	0.013381	5.5
227	-0.929226	309.368217	0.005268	6.0
