1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
0	0.000000	627.201626	0.000000	1921.7
1	-0.638439	623.504937	0.015985	3.7
2	-1.012756	619.865785	0.012448	3.6
3	-0.647203	616.282728	0.005372	3.6
4	-0.615429	612.754375	0.003992	4.0
5	-0.463054	609.279381	0.019188	3.9
6	-0.208644	605.856447	0.002846	4.0
7	-0.048261	602.484317	0.005280	4.0
8	-0.568884	599.161779	0.008594	3.9
9	-0.188035	595.887656	0.011810	4.0
10	0.000000	592.660813	0.000000	3.8
11	-0.871672	589.480151	0.013662	3.8
12	-0.324054	586.344606	0.010132	3.6
13	-1.180834	583.253145	0.009464	3.8
14	0.000000	580.204771	0.000000	3.9
15	-0.698825	577.198517	0.006451	3.9
16	-0.000000	574.233444	0.000000	3.9
17	-0.464170	571.308645	0.015098	3.9
18	-0.947135	568.423237	0.008914	3.9
19	-1.173653	565.576365	0.011900	3.5
20	-0.560831	562.767201	0.020649	3.8
21	-1.229859	559.994938	0.010611	3.9
22	-0.692835	557.258797	0.008148	3.9
23	-0.088367	554.558018	0.000938	4.0
24	0.000000	551.891865	0.000000	3.9
25	-0.443086	549.259621	0.012448	4.0
26	-0.647726	546.660592	0.020710	3.7
27	-0.512234	544.094102	0.020846	3.6
28	-1.309328	541.559494	0.010494	3.6
29	-0.499767	539.056129	0.025595	3.8
30	0.000000	536.583387	0.000000	3.6
31	-0.004201	534.140663	0.000727	3.6
32	-0.000000	531.727370	0.000000	3.9
33	-0.790321	529.342935	0.019173	4.0
34	-1.225513	526.986802	0.013471	3.9
35	0.000000	524.658430	0.000000	3.9
36	-1.010435	522.357290	0.011647	3.9
37	-0.000000	520.082868	0.000000	3.6
38	-0.681837	517.834665	0.005267	3.6
39	-0.589975	515.612193	0.005034	3.9
40	-1.250662	513.414976	0.008793	3.9
41	-0.464042	511.242551	0.003657	3.8
42	-0.000000	509.094468	0.000000	3.6
43	0.000000	506.970285	0.000000	3.7
44	-0.000000	504.869574	0.000000	3.8
45	-0.392755	502.791916	0.005590	3.9
46	-1.121432	500.736903	0.015152	3.7
47	-0.176645	498.704137	0.007868	3.7
48	-0.591630	496.693228	0.016046	3.7
49	-0.000068	494.703798	0.000015	3.6
50	-0.831524	492.735476	0.021095	3.7
51	-0.013977	490.787900	0.001042	3.8
52	-0.819329	488.860718	0.008664	3.9
53	-0.329097	486.953585	0.006650	3.8
54	-1.069318	485.066164	0.020969	4.0
55	-0.047522	483.198126	0.004122	3.9
56	-0.000014	481.349149	0.000002	3.6
57	-1.459549	479.518920	0.004707	4.0
58	0.000000	477.707132	0.000000	3.7
59	-0.174422	475.913485	0.000546	4.1
60	-0.328027	474.137684	0.002426	4.8
61	-0.000000	472.379445	0.000000	4.6
62	-0.423071	470.638485	0.008387	4.6
63	-0.000000	468.914531	0.000000	4.0
64	-0.487637	467.207315	0.017459	4.9
65	0.000000	465.516573	0.000000	4.3
66	0.000000	463.842050	0.000000	3.9
67	-0.768000	462.183494	0.007320	3.8
68	-1.058442	460.540658	0.008967	3.8
69	-0.463848	458.913303	0.020294	4.3
70	-0.075429	457.301192	0.001236	3.9
71	-1.079030	455.704096	0.009301	3.9
72	-0.787642	454.121787	0.013971	4.0
73	-0.018952	452.554045	0.000110	3.9
74	-0.515014	451.000653	0.010363	4.0
75	-0.256730	449.461399	0.003589	3.9
76	0.000000	447.936075	0.000000	4.0
77	-1.131356	446.424477	0.006346	4.0
78	-0.000000	444.926406	0.000000	4.0
79	-0.000000	443.441666	0.000000	4.3
80	-0.000000	441.970065	0.000000	3.7
81	0.000000	440.511415	0.000000	4.2
82	-0.081386	439.065533	0.000151	3.6
83	0.000000	437.632238	0.000000	3.9
84	-0.553585	436.211351	0.003056	3.9
85	-0.706555	434.802701	0.017964	4.0
86	-0.934414	433.406117	0.008881	4.0
87	-0.606618	432.021430	0.006142	3.9
88	0.000000	430.648479	0.000000	3.9
89	-0.727291	429.287101	0.012995	4.4
90	-0.110924	427.937140	0.000503	4.0
91	-0.244029	426.598440	0.002171	3.9
92	-0.658135	425.270849	0.016938	3.9
93	-0.000010	423.954220	0.000001	3.9
94	0.000000	422.648404	0.000000	3.8
95	0.000000	421.353259	0.000000	3.6
96	-0.000000	420.068643	0.000000	3.6
97	-0.961251	418.794419	0.011135	3.6
98	-0.342505	417.530451	0.003741	3.7
99	-1.094695	416.276604	0.015968	3.7
100	-0.322686	415.032748	0.002224	3.7
101	-0.338604	413.798754	0.009152	3.7
102	-0.989889	412.574495	0.015403	3.7
103	-0.803828	411.359849	0.008893	3.9
104	0.000000	410.154691	0.000000	4.1
105	-0.429261	408.958904	0.006257	4.1
106	-0.000000	407.772368	0.000000	3.8
107	-0.840283	406.594968	0.008510	4.0
108	-0.956079	405.426590	0.009695	4.0
109	-0.000000	404.267122	0.000000	3.9
110	-0.000000	403.116456	0.000000	4.6
111	-0.000023	401.974481	0.000006	3.7
