1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
445	-0.480471	0.000000	18.226121	0.006448	4.2
446	-0.486736	0.999997	17.397663	0.007314	4.2
447	-0.484666	1.999195	16.641823	0.003122	4.2
448	-0.487858	2.999195	15.948390	0.006352	4.1
449	-0.483359	3.996845	15.311874	0.005130	4.9
450	-0.487355	4.643190	14.925933	0.003705	5.8
451	-0.488364	4.533277	14.990184	0.004092	5.0
452	-0.480627	3.606687	15.554655	0.008205	4.3
453	-0.495199	4.606687	14.947210	0.005346	4.3
454	-0.485127	5.599804	14.389149	0.003555	4.3
455	-0.485397	4.673216	14.908476	0.006758	4.1
456	-0.481535	5.673216	14.349546	0.007023	4.2
457	-0.493920	6.673214	13.831011	0.007551	4.1
458	-0.471041	7.673214	13.348644	0.004382	4.1
459	-0.487106	8.673213	12.898790	0.005079	4.1
460	-0.482649	8.519341	12.966025	0.003543	4.1
461	-0.491638	9.513955	12.543393	0.006794	4.1
462	-0.488798	8.587333	12.936230	0.007878	4.2
463	-0.485552	7.660711	13.354467	0.004103	4.3
464	-0.474866	8.660711	12.904226	0.006654	4.7
465	-0.484650	9.660711	12.483355	0.007258	4.3
466	-0.490535	8.742968	12.868538	0.004747	5.3
467	-0.482880	7.967624	13.212976	0.003845	4.9
468	-0.484667	8.914813	12.794616	0.006072	5.1
469	-0.487227	7.988191	13.203602	0.007322	4.9
470	-0.490618	7.061569	13.639598	0.006783	4.9
471	-0.480273	8.061569	13.170264	0.003686	4.4
472	-0.488175	9.059802	12.732902	0.006243	4.4
473	-0.495130	10.058311	12.323546	0.006677	4.5
474	-0.500052	11.058311	11.939136	0.007589	5.1
475	-0.491893	10.131689	12.294499	0.007215	4.9
476	-0.482193	11.131607	11.911901	0.005454	4.5
477	-0.497159	10.204985	12.265621	0.006417	4.2
478	-0.493317	11.204985	11.884760	0.008030	4.2
479	-0.486482	10.278391	12.236836	0.006046	4.5
480	-0.491957	11.278391	11.857733	0.003873	4.7
481	-0.495065	10.351777	12.208193	0.006344	4.2
482	-0.481168	10.373466	12.199753	0.006241	4.7
483	-0.491259	9.446844	12.571041	0.008358	4.6
484	-0.491289	8.520224	12.965638	0.007193	4.2
485	-0.481853	9.520224	12.540817	0.006457	4.6
486	-0.472831	10.520224	12.142951	0.004128	5.1
487	-0.485193	11.519205	11.769923	0.005105	5.0
488	-0.480010	12.518744	11.418940	0.004980	4.7
489	-0.483178	13.518741	11.088137	0.006961	4.2
490	-0.481760	14.496465	10.782723	0.002139	4.3
491	-0.486993	13.652483	11.045342	0.005932	4.1
492	-0.489096	12.725920	11.348794	0.004380	4.2
493	-0.478043	13.725920	11.021984	0.006839	4.3
494	-0.501561	14.725919	10.713469	0.005303	4.1
495	-0.483201	15.694195	10.430765	0.006459	4.1
496	-0.512118	16.653496	10.165020	0.005892	4.1
497	-0.488878	15.918095	10.367505	0.006789	4.3
498	-0.495157	14.991473	10.634423	0.005684	4.2
499	-0.488591	14.064852	10.915447	0.007384	4.4
