1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
129	-0.623994	18.672639	6.019501	0.007576	10.1
130	-0.614036	17.764881	6.160460	0.007008	9.3
131	-0.613554	18.764857	6.005541	0.009077	9.1
132	-0.639176	19.764857	5.858220	0.008855	9.0
133	-0.624421	19.278493	5.928958	0.005223	9.0
134	-0.605519	20.090326	5.811818	0.005261	9.0
135	-0.634958	19.201649	5.940291	0.007494	9.1
136	-0.621144	19.324181	5.922240	0.005654	9.3
137	-0.634943	18.418296	6.058341	0.006980	9.6
138	-0.618545	19.382794	5.913644	0.010069	9.5
139	-0.619221	19.048404	5.963021	0.009672	9.2
140	-0.635358	18.135457	6.102126	0.006296	10.0
141	-0.613243	17.372758	6.223412	0.006961	9.3
142	-0.621906	18.306013	6.075648	0.009235	9.7
143	-0.610190	19.300623	5.925702	0.008349	9.6
144	-0.615802	19.146376	5.948469	0.008768	9.8
145	-0.631338	20.078797	5.813449	0.009300	9.3
146	-0.632914	21.078773	5.675296	0.007001	8.8
147	-0.638336	21.960896	5.558764	0.006217	9.6
148	-0.619968	21.303883	5.645096	0.012353	9.8
149	-0.624013	21.782100	5.581995	0.006135	8.9
150	-0.629796	22.570349	5.481009	0.006800	9.0
151	-0.609412	23.339211	5.385966	0.008769	9.1
152	-0.636819	22.429698	5.498760	0.008655	9.3
153	-0.620291	22.175275	5.531163	0.008091	8.9
154	-0.627172	23.172832	5.406253	0.006478	8.8
155	-0.643887	22.529825	5.486112	0.012138	9.1
156	-0.615547	23.527642	5.363174	0.008010	9.0
157	-0.631775	22.645251	5.471603	0.007811	9.6
158	-0.626726	21.733400	5.588357	0.007445	10.1
159	-0.620269	22.733377	5.460577	0.005458	9.5
160	-0.629504	21.820701	5.576963	0.005054	9.6
161	-0.624085	22.806411	5.451473	0.005274	9.6
162	-0.637950	21.897649	5.566960	0.006012	10.6
163	-0.628839	21.353030	5.638545	0.009801	9.1
164	-0.611137	22.352349	5.508571	0.005035	9.2
165	-0.616883	23.152143	5.408786	0.005549	9.0
166	-0.597064	22.891670	5.440884	0.006200	9.2
167	-0.615319	23.410868	5.377276	0.010404	9.1
168	-0.614493	22.503438	5.489439	0.013672	9.0
169	-0.632669	23.503438	5.366091	0.006342	9.9
170	-0.624582	22.590462	5.478480	0.008649	11.5
171	-0.624879	23.590077	5.355664	0.005540	9.8
172	-0.611591	22.683601	5.466799	0.008693	9.3
173	-0.612219	23.683550	5.344461	0.007692	9.3
174	-0.618099	23.049032	5.421447	0.009242	9.0
175	-0.630404	22.895035	5.440467	0.008453	9.9
176	-0.632681	21.982328	5.555992	0.008821	9.2
177	-0.624371	22.930208	5.436111	0.005883	9.1
178	-0.613358	22.017341	5.551470	0.008422	9.0
179	-0.641128	23.013806	5.425786	0.011580	9.2
180	-0.625424	23.430597	5.374888	0.007403	9.2
181	-0.634168	22.517625	5.487650	0.011174	8.8
182	-0.612920	22.175809	5.531095	0.008197	9.2
183	-0.632089	21.515568	5.616989	0.007893	9.4
184	-0.618730	21.324356	5.642365	0.006958	10.8
185	-0.638810	20.769043	5.717380	0.007290	9.6
186	-0.610011	21.683838	5.594846	0.009033	9.0
187	-0.636568	20.773907	5.716714	0.009371	9.2
188	-0.632193	19.860939	5.844444	0.011085	9.9
189	-0.628094	18.947962	5.978014	0.009615	11.4
190	-0.603999	19.947948	5.832026	0.014080	11.0
191	-0.624044	19.034970	5.965022	0.006626	10.3
192	-0.625240	18.121994	6.104226	0.010259	9.9
193	-0.628400	17.209017	6.250082	0.009570	9.5
194	-0.611644	17.441489	6.212285	0.008105	9.0
195	-0.636315	16.725472	6.330192	0.004957	8.9
196	-0.616793	17.718271	6.167876	0.009681	9.8
197	-0.619540	16.807266	6.316497	0.009316	9.3
198	-0.615556	15.895550	6.472582	0.008823	11.1
199	-0.638538	14.982582	6.636808	0.010679	9.6
200	-0.623814	15.982581	6.457350	0.009009	9.8
201	-0.612172	15.818381	6.486148	0.006663	10.7
202	-0.614256	15.659690	6.514225	0.008262	9.4
203	-0.625348	15.606097	6.523763	0.010032	9.6
204	-0.625735	14.696365	6.690023	0.009807	9.6
205	-0.620632	13.783625	6.865572	0.007455	9.4
206	-0.618032	14.783625	6.673708	0.010798	10.1
207	-0.618616	15.783479	6.492303	0.011680	9.3
208	-0.635344	16.783475	6.320474	0.005806	9.2
209	-0.622512	17.782960	6.157588	0.006338	9.5
210	-0.627393	17.579418	6.190075	0.004564	9.1
211	-0.633811	16.760860	6.324260	0.007229	9.4
212	-0.636738	15.972982	6.459027	0.005476	9.2
213	-0.617324	15.070524	6.620627	0.007683	8.9
214	-0.625182	14.158091	6.792447	0.006256	10.0
