1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
0	-0.705140	627.201626	0.020390	1473.0
1	-0.022146	623.504937	0.000519	5.0
2	0.000000	619.865785	0.000000	5.2
3	-0.005888	616.282728	0.000025	5.1
4	-0.005892	612.754375	0.000142	6.3
5	0.000000	609.279381	0.000000	5.7
6	-0.591094	605.856447	0.011795	5.0
7	-0.863679	602.484317	0.016654	5.3
8	-0.795039	599.161779	0.021448	5.2
9	-0.137196	595.887656	0.002510	6.1
10	-0.401120	592.660813	0.010422	6.3
11	-0.338134	589.480151	0.007804	5.3
12	-0.684562	586.344606	0.011686	4.6
13	-0.000000	583.253145	0.000000	5.6
14	-0.686411	580.204771	0.010189	5.7
15	-0.750539	577.198517	0.013273	5.5
16	-0.766013	574.233444	0.019644	5.8
17	-0.969928	571.308645	0.017184	5.8
18	-0.820544	568.423237	0.016844	5.7
19	-0.609979	565.576365	0.011847	5.2
20	-0.925380	562.767201	0.011120	6.1
21	-0.596128	559.994938	0.009397	5.9
22	-1.429486	557.258797	0.016375	5.4
23	-0.808641	554.558018	0.017769	4.5
24	-0.056887	551.891865	0.002753	5.3
25	-0.133875	549.259621	0.006400	5.3
26	-0.375047	546.660592	0.006692	4.8
27	-0.069365	544.094102	0.006317	5.3
28	-0.551919	541.559494	0.010228	4.9
29	-0.222606	539.056129	0.007103	5.4
30	-1.062183	536.583387	0.017550	5.4
31	-0.013033	534.140663	0.000231	5.2
32	-0.000000	531.727370	0.000000	5.0
33	-0.916593	529.342935	0.008174	5.5
34	-0.463060	526.986802	0.009868	5.6
35	-1.198672	524.658430	0.010481	6.7
36	-0.652497	522.357290	0.017879	5.5
37	-0.000000	520.082868	0.000000	4.4
38	-0.528957	517.834665	0.009089	5.2
39	-0.318400	515.612193	0.007003	6.1
40	-0.187878	513.414976	0.004860	5.5
41	0.000000	511.242551	0.000000	5.2
42	-0.991312	509.094468	0.015301	5.5
43	-0.213574	506.970285	0.007502	5.2
