1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
0	-0.468437	627.201626	0.007867	1483.2
1	-0.649315	623.504937	0.007216	6.2
2	-1.000920	619.865785	0.008341	5.7
3	-0.600767	616.282728	0.006276	5.6
4	-1.057989	612.754375	0.015301	6.8
5	-0.000000	609.279381	0.000000	6.2
6	-1.185419	605.856447	0.039858	7.0
7	-0.744950	602.484317	0.010711	5.5
8	-0.593441	599.161779	0.007585	8.1
9	-0.695413	595.887656	0.009063	6.1
10	-0.000000	592.660813	0.000000	5.0
11	-0.438692	589.480151	0.010960	5.2
12	-0.650590	586.344606	0.012723	4.9
13	-0.275128	583.253145	0.004928	5.2
14	-0.845403	580.204771	0.010876	6.4
15	-0.758053	577.198517	0.009228	6.6
16	-0.712633	574.233444	0.012037	5.6
17	-0.000000	571.308645	0.000000	4.7
18	-1.173231	568.423237	0.014791	5.0
19	-0.821066	565.576365	0.019850	5.5
20	-0.893301	562.767201	0.011955	6.2
21	-0.000000	559.994938	0.000000	6.2
22	-0.815418	557.258797	0.008831	6.6
23	-0.513827	554.558018	0.012690	5.0
24	-0.525616	551.891865	0.020852	5.1
25	-0.000000	549.259621	0.000000	4.9
26	-0.235333	546.660592	0.005316	4.8
27	-0.670966	544.094102	0.010138	5.2
28	-0.732866	541.559494	0.011047	5.1
29	-0.546819	539.056129	0.008955	5.3
30	-0.527435	536.583387	0.009069	5.5
31	-0.551693	534.140663	0.017778	5.9
32	-0.570090	531.727370	0.008428	5.9
33	-0.576020	529.342935	0.010894	5.8
34	-0.746092	526.986802	0.014031	5.3
35	-1.110609	524.658430	0.016398	5.7
36	-0.501104	522.357290	0.010029	6.1
37	-0.000000	520.082868	0.000000	5.3
38	-0.244897	517.834665	0.008526	5.0
39	-0.000000	515.612193	0.000000	5.0
40	-1.067933	513.414976	0.007437	5.0
41	-1.205053	511.242551	0.021062	5.3
42	-0.530449	509.094468	0.020405	5.6
43	-1.077586	506.970285	0.017014	5.8
44	-1.023132	504.869574	0.023832	5.4
45	-0.000000	502.791916	0.000000	5.3
46	-0.943793	500.736903	0.014820	5.1
47	-0.351742	498.704137	0.009755	5.2
48	-0.832065	496.693228	0.010331	4.5
49	-0.920113	494.703798	0.031310	5.6
50	-0.360027	492.735476	0.004985	5.7
51	-0.120723	490.787900	0.001130	5.2
52	-0.029749	488.860718	0.000218	6.1
53	-0.746261	486.953585	0.012142	5.2
54	-0.023344	485.066164	0.000460	4.7
55	-1.230361	483.198126	0.013243	5.0
56	-1.354751	481.349149	0.013688	5.0
