1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.309799	0.000000	58.628635	0.005395	3643.2
1	-0.300904	0.000000	58.628635	0.006964	9.5
2	-0.292126	0.000000	58.628635	0.006815	8.9
3	-0.308190	0.000000	58.628635	0.006322	8.8
4	-0.308535	0.000000	58.628635	0.004689	10.0
5	-0.309231	0.000000	58.628635	0.007481	8.8
6	-0.303502	0.000000	58.628635	0.006750	9.0
7	-0.309887	0.000000	58.628635	0.005529	8.5
8	-0.312794	0.000000	58.628635	0.006193	8.7
9	-0.317630	0.000000	58.628635	0.006311	8.9
10	-0.321320	0.000000	58.628635	0.005903	8.7
11	-0.326451	0.000000	58.628635	0.006803	9.4
12	-0.314743	0.000000	58.628635	0.007017	9.2
13	-0.344358	0.000000	58.628635	0.009661	8.9
14	-0.339818	0.000000	58.628635	0.007713	8.7
15	-0.351947	0.000000	58.628635	0.007082	8.7
16	-0.341083	0.000000	58.628635	0.007921	9.9
17	-0.359824	0.000000	58.628635	0.009214	8.8
18	-0.358249	0.000000	58.628635	0.008571	8.7
19	-0.349810	0.000000	58.628635	0.007407	8.8
20	-0.365120	0.000000	58.628635	0.008646	8.6
21	-0.343527	0.000000	58.628635	0.009566	9.2
22	-0.380987	0.000000	58.628635	0.009144	9.4
23	-0.381839	0.000000	58.628635	0.008608	8.6
24	-0.376340	0.000000	58.628635	0.008562	8.7
25	-0.366101	0.000000	58.628635	0.008797	8.7
26	-0.375967	0.000000	58.628635	0.008574	9.9
27	-0.384235	0.000000	58.628635	0.010031	10.0
28	-0.371735	0.000000	58.628635	0.010389	9.3
29	-0.411408	0.000000	58.628635	0.009472	9.2
30	-0.406496	0.000000	58.628635	0.011151	10.2
31	-0.400653	0.000000	58.628635	0.009109	9.2
32	-0.420328	0.000000	58.628635	0.010369	9.1
33	-0.444088	0.000000	58.628635	0.010249	8.8
34	-0.434111	0.000000	58.628635	0.011208	9.0
35	-0.425498	0.000000	58.628635	0.010930	9.2
36	-0.450926	0.000000	58.628635	0.013972	9.5
37	-0.440602	0.000000	58.628635	0.012360	9.5
38	-0.471733	0.000000	58.628635	0.011691	11.2
39	-0.453943	0.000000	58.628635	0.011859	9.9
40	-0.468510	0.000000	58.628635	0.011634	9.0
41	-0.487046	0.000000	58.628635	0.014302	9.0
42	-0.503011	0.000000	58.628635	0.012135	9.1
43	-0.508844	0.000000	58.628635	0.014573	9.0
44	-0.508751	0.000000	58.628635	0.012901	9.0
45	-0.527299	0.000000	58.628635	0.016987	8.9
46	-0.536889	0.000000	58.628635	0.016994	9.2
47	-0.544666	0.000000	58.628635	0.016749	9.9
48	-0.581016	0.000000	58.628635	0.015729	9.0
49	-0.579118	0.000000	58.628635	0.013886	8.9
50	-0.596124	0.000000	58.628635	0.017875	8.8
51	-0.595584	0.000000	58.628635	0.017623	9.2
52	-0.625557	0.000000	58.628635	0.014593	10.1
53	-0.640142	0.000000	58.628635	0.012676	9.3
