1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.690651	0.000000	39.195585	0.004650	3610.1
1	-0.709749	0.000000	39.195585	0.006911	11.0
2	-0.697330	0.000000	39.195585	0.005999	11.3
3	-0.700024	0.000000	39.195585	0.006640	11.3
4	-0.694935	0.000000	39.195585	0.006100	10.6
5	-0.685249	1.000000	37.413968	0.006760	9.2
6	-0.688200	2.000000	35.787273	0.004854	9.0
7	-0.710764	1.298590	36.912974	0.005618	9.0
8	-0.696818	0.927467	37.537729	0.005830	10.3
9	-0.690435	0.221538	38.786411	0.004256	10.4
10	-0.701983	0.533452	38.224586	0.006894	9.2
11	-0.694577	0.000000	39.195585	0.004571	9.7
12	-0.684189	0.000000	39.195585	0.004835	9.7
13	-0.684011	0.000000	39.195585	0.004172	9.3
14	-0.695963	1.000000	37.413968	0.003575	8.9
15	-0.687727	0.296068	38.650669	0.003452	9.3
16	-0.683107	0.000000	39.195585	0.003311	10.2
17	-0.690098	0.000000	39.195585	0.004310	10.3
18	-0.682381	0.955728	37.489410	0.006588	9.9
19	-0.695121	1.955719	35.856306	0.005547	10.8
20	-0.694361	2.955103	34.360415	0.006108	10.2
21	-0.704728	3.955103	32.983525	0.003927	10.3
22	-0.695213	3.249079	33.943858	0.004301	9.1
23	-0.707087	2.674160	34.768173	0.006287	9.0
24	-0.693693	3.674160	33.359081	0.006639	9.8
25	-0.694015	4.597112	32.156256	0.005131	9.4
26	-0.694618	5.597112	30.947243	0.004591	9.1
27	-0.694483	4.891146	31.791073	0.005119	10.1
28	-0.698895	4.185121	32.682284	0.006105	9.8
29	-0.689458	3.479129	33.624860	0.006707	9.8
30	-0.694179	2.773176	34.623363	0.004143	9.4
31	-0.688086	2.211017	35.461922	0.005338	9.2
32	-0.691717	3.211017	33.997220	0.007649	8.9
33	-0.700121	2.504993	35.018402	0.005726	9.0
34	-0.691593	1.798968	36.102830	0.003802	10.0
35	-0.690719	2.798968	34.585839	0.006223	10.2
36	-0.687492	2.092944	35.643238	0.006131	9.4
37	-0.693623	3.092943	34.163833	0.004986	9.4
38	-0.696141	4.092943	32.802341	0.005264	9.5
39	-0.691613	5.092644	31.545569	0.006406	9.6
40	-0.685286	6.088772	30.385552	0.005164	9.5
41	-0.699786	5.405821	31.171433	0.005237	9.3
42	-0.691445	6.078803	30.396738	0.004810	9.4
43	-0.707091	5.522103	31.034767	0.007389	9.9
44	-0.686635	5.237378	31.371553	0.005083	10.2
45	-0.691282	6.237193	30.219975	0.006607	10.1
46	-0.694071	5.532375	31.022752	0.005193	9.7
47	-0.685989	6.532311	29.896048	0.005213	9.7
48	-0.690668	7.516989	28.863751	0.005665	9.4
49	-0.691177	8.516989	27.885882	0.003892	9.9
50	-0.706220	7.810965	28.569237	0.004579	9.5
51	-0.716412	7.938052	28.443770	0.005531	9.5
52	-0.713184	8.938052	27.493682	0.006074	10.2
53	-0.696611	8.234169	28.155659	0.004120	10.0
54	-0.683420	9.234154	27.224420	0.003592	9.3
55	-0.695955	8.528131	27.875360	0.005511	9.2
56	-0.694444	7.823821	28.556494	0.004953	9.6
57	-0.715563	8.821806	27.600854	0.007151	10.0
58	-0.685873	8.115799	28.270126	0.003262	9.7
59	-0.691207	9.115798	27.331412	0.005592	10.1
60	-0.694709	9.013803	27.424292	0.005463	9.3
61	-0.708092	8.307778	28.084943	0.005164	10.5
62	-0.684208	7.621232	28.758625	0.005006	9.6
63	-0.685645	7.836113	28.544321	0.004599	9.6
64	-0.692154	8.836113	27.587618	0.007811	9.3
65	-0.700486	9.831097	26.697308	0.007085	9.0
66	-0.675211	10.831097	25.858590	0.005465	9.6
67	-0.685799	10.125072	26.445153	0.007866	9.9
68	-0.687853	11.125072	25.621959	0.004432	10.1
69	-0.712209	12.125006	24.848517	0.004280	10.2
70	-0.672556	11.420072	25.388817	0.003796	9.1
71	-0.693086	12.418410	24.630355	0.006312	8.9
72	-0.697247	12.653245	24.458482	0.002999	9.9
73	-0.695623	12.075031	24.886062	0.005176	10.7
74	-0.691354	11.379596	25.420554	0.004618	10.2
75	-0.701188	10.673573	25.987194	0.005501	10.4
76	-0.697815	11.131279	25.617010	0.005337	10.4
77	-0.690747	12.131279	24.843813	0.006320	9.8
78	-0.676634	13.131279	24.115923	0.004122	10.1
79	-0.698585	12.425255	24.625311	0.004699	10.4
80	-0.702750	11.719230	25.156683	0.006787	9.7
81	-0.694510	12.718928	24.410838	0.005483	10.0
82	-0.692764	12.012904	24.932896	0.004949	9.6
83	-0.687958	12.812926	24.342977	0.004995	8.9
