1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.649545	0.000000	18.969897	0.005662	3630.5
1	-0.651989	0.000000	18.969897	0.006398	9.7
2	-0.648200	0.950022	18.148858	0.007603	9.4
3	-0.639822	0.094799	18.884647	0.009077	9.3
4	-0.651426	1.094799	18.029937	0.006441	10.0
5	-0.654411	2.094799	17.249244	0.008136	11.1
6	-0.656332	1.235300	17.916009	0.007858	11.8
7	-0.651911	1.391803	17.790789	0.006520	10.0
8	-0.650147	2.391720	17.030292	0.006177	10.9
9	-0.658674	3.390842	16.332680	0.006354	10.0
10	-0.644977	2.539924	16.923072	0.006787	9.8
11	-0.628858	1.669386	17.572943	0.005198	10.0
12	-0.656931	1.885751	17.406806	0.004620	11.0
13	-0.639773	2.772968	16.757177	0.005777	9.4
14	-0.638515	1.909997	17.388384	0.007090	9.3
15	-0.643435	1.039459	18.075209	0.010154	9.9
16	-0.636161	2.039459	17.290676	0.007794	10.2
17	-0.644443	3.039458	16.571415	0.006547	11.1
18	-0.646472	2.168913	17.194067	0.007211	9.5
19	-0.653070	1.298368	17.865336	0.009842	9.7
20	-0.633264	0.445494	18.575829	0.006904	10.0
21	-0.661091	1.444984	17.748635	0.007387	9.7
22	-0.644270	2.444819	16.991721	0.005761	9.7
23	-0.633191	3.444812	16.296621	0.007597	10.1
24	-0.643852	4.444534	15.656323	0.005810	10.9
25	-0.648628	5.444486	15.064306	0.008754	9.9
26	-0.650182	6.443407	14.515976	0.007767	9.8
27	-0.647124	5.572863	14.991528	0.007284	9.3
28	-0.629292	6.572863	14.447823	0.004979	9.1
29	-0.637873	5.702319	14.918848	0.007778	9.5
30	-0.642568	4.854186	15.408252	0.007661	9.7
31	-0.642361	5.854146	14.834500	0.005809	9.1
32	-0.643807	4.985119	15.330614	0.007039	9.1
33	-0.646376	5.985117	14.762501	0.008254	9.5
34	-0.645419	5.951682	14.780815	0.008482	9.9
35	-0.648871	6.403955	14.536874	0.005111	9.7
36	-0.652879	7.403955	14.025083	0.008166	9.6
37	-0.654002	6.533617	14.468416	0.006283	9.1
38	-0.645933	7.533556	13.961380	0.006069	9.0
39	-0.635236	6.921495	14.267425	0.005697	9.6
40	-0.656875	7.901083	13.783837	0.006592	9.5
41	-0.657168	7.846483	13.809927	0.006395	9.2
42	-0.651078	6.976702	14.239271	0.006850	9.8
43	-0.634810	7.976698	13.747868	0.009277	9.5
44	-0.652965	8.976601	13.289293	0.006431	9.1
45	-0.630507	8.106276	13.686664	0.006334	9.0
46	-0.640884	7.235732	14.108642	0.007585	9.7
47	-0.635547	8.235461	13.626186	0.008085	10.1
48	-0.636509	7.365052	14.044319	0.006585	9.3
49	-0.650071	7.616176	13.921071	0.005702	9.6
50	-0.640381	6.955630	14.250004	0.004928	10.5
51	-0.639479	7.101875	14.175845	0.005788	9.6
52	-0.636292	7.915277	13.777071	0.006929	10.1
53	-0.653911	8.914208	13.317011	0.007125	9.3
54	-0.631131	8.043664	13.716170	0.005171	9.3
55	-0.656789	9.043492	13.259705	0.007552	9.3
56	-0.652433	9.115237	13.228115	0.007532	8.9
57	-0.635731	10.115230	12.802985	0.005419	10.4
58	-0.639892	9.416110	13.097264	0.005523	10.7
59	-0.654982	10.414820	12.680889	0.006253	9.2
60	-0.657773	11.414051	12.289974	0.006761	9.0
61	-0.648572	11.992408	12.074530	0.006434	9.3
62	-0.632230	11.121874	12.401762	0.007750	9.5
63	-0.632080	10.258311	12.744381	0.011295	10.0
64	-0.646633	9.387766	13.109481	0.003359	9.6
65	-0.644713	10.369404	12.699248	0.009731	9.8
66	-0.640849	10.237671	12.752802	0.006111	9.4
67	-0.634225	11.237671	12.357215	0.007084	10.0
68	-0.627258	12.237671	11.985432	0.007344	10.4
69	-0.641716	13.236358	11.635812	0.004974	9.8
70	-0.623882	12.701121	11.820611	0.005321	9.7
71	-0.650454	11.853335	12.125644	0.005643	9.2
72	-0.640621	10.985626	12.454589	0.002653	9.1
73	-0.646624	10.770779	12.538812	0.008979	10.0
74	-0.648876	11.768150	12.157166	0.008295	10.4
75	-0.634253	10.897802	12.488880	0.004619	11.9
76	-0.642177	11.897796	12.109256	0.005590	10.9
77	-0.639384	12.832623	11.774666	0.007463	10.0
78	-0.651768	12.066763	12.047379	0.010545	9.2
79	-0.646686	11.196218	12.373125	0.005950	9.7
80	-0.647118	11.770270	12.156379	0.007611	9.6
81	-0.648716	10.899725	12.488127	0.007205	9.1
82	-0.628460	10.029181	12.838490	0.006054	8.8
83	-0.623544	9.158637	13.209079	0.008327	9.2
84	-0.644072	9.144955	13.215075	0.006862	9.1
85	-0.649855	10.053819	12.828304	0.007670	9.3
86	-0.635728	10.312530	12.722314	0.008714	9.6
87	-0.641931	11.309132	12.329883	0.007214	9.3
88	-0.626576	10.962841	12.463468	0.004827	8.9
89	-0.644115	10.651928	12.585894	0.004589	10.3
90	-0.629787	11.513662	12.252321	0.007198	10.2
91	-0.647423	12.511768	11.887401	0.006407	9.7
92	-0.630807	11.641239	12.204433	0.007734	9.3
93	-0.652041	12.641221	11.841658	0.007508	9.7
94	-0.636599	13.641221	11.499821	0.004862	9.0
95	-0.660958	12.771287	11.796051	0.008386	9.3
96	-0.652265	11.921718	12.100457	0.008721	9.3
97	-0.645172	12.921366	11.743862	0.010950	9.0
98	-0.652558	12.050826	12.053188	0.005784	9.3
99	-0.655876	13.050352	11.699375	0.007958	10.4
100	-0.645560	14.048491	11.366191	0.006893	9.4
101	-0.641772	15.045027	11.051950	0.009824	9.2
102	-0.657372	16.044993	10.753621	0.007044	8.9
103	-0.640591	15.174467	11.012404	0.008961	9.4
104	-0.653913	14.862421	11.108225	0.004608	9.1
105	-0.639938	14.316747	11.279856	0.007833	9.0
106	-0.646003	15.315771	10.969555	0.009338	9.4
107	-0.661170	14.446970	11.238417	0.004949	10.9
108	-0.649055	13.606181	11.511465	0.007492	10.0
109	-0.639408	12.794464	11.787961	0.005918	9.6
110	-0.658641	11.923925	12.099646	0.004767	9.0
111	-0.650259	11.053760	12.428115	0.006087	9.2
112	-0.641629	10.541666	12.629892	0.007515	10.2
113	-0.643068	9.859987	12.908879	0.005486	9.5
114	-0.631634	8.992724	13.282149	0.010162	9.1
115	-0.644539	9.665862	12.990596	0.007926	9.2
116	-0.646599	10.665858	12.580358	0.005547	9.1
117	-0.634316	11.665837	12.195243	0.006704	9.0
118	-0.652401	12.340508	11.948463	0.005957	9.1
119	-0.643748	13.339917	11.600722	0.007581	8.9
120	-0.642153	12.469425	11.902440	0.007809	9.1
121	-0.635549	11.623470	12.211081	0.004602	8.9
122	-0.650003	11.019624	12.441365	0.007398	9.1
123	-0.646339	10.160335	12.784453	0.006272	8.7
124	-0.642289	9.289818	13.151873	0.004961	9.1
125	-0.653960	10.289809	12.731552	0.007015	8.9
126	-0.642679	11.260363	12.348523	0.006848	9.9
127	-0.648760	12.260363	11.977255	0.006371	9.2
128	-0.637561	13.253426	11.630014	0.006127	9.0
129	-0.636492	13.696006	11.481663	0.005519	9.2
130	-0.644663	14.128636	11.340259	0.006002	9.2
131	-0.647324	15.113171	11.031095	0.005878	10.4
132	-0.629815	16.049347	10.752358	0.005576	9.1
133	-0.632257	15.178803	11.011084	0.007237	8.9
134	-0.652825	16.178802	10.714918	0.006867	8.8
135	-0.636310	15.308887	10.971634	0.006105	9.0
136	-0.651862	14.545274	11.207336	0.010135	9.3
137	-0.645759	14.697103	11.159668	0.006865	9.1
138	-0.636241	13.826559	11.438622	0.005757	9.2
139	-0.657404	14.826559	11.119344	0.007638	8.9
140	-0.651953	15.826559	10.817406	0.010450	9.1
141	-0.649632	14.956014	11.079310	0.006175	9.4
142	-0.644179	15.956009	10.779514	0.004712	9.1
143	-0.638306	16.018303	10.761375	0.006970	9.4
144	-0.658372	17.018303	10.478317	0.005318	9.8
145	-0.640964	18.018231	10.209787	0.008463	9.0
146	-0.627878	18.971470	9.966304	0.006503	8.8
147	-0.633866	19.855941	9.750548	0.006118	9.6
148	-0.643592	20.855834	9.517618	0.006980	9.5
149	-0.634153	19.986128	9.719577	0.007142	9.4
150	-0.656254	19.172708	9.916380	0.007434	9.4
151	-0.629523	18.543364	10.074202	0.006846	9.0
152	-0.643161	17.699196	10.293956	0.004296	8.8
153	-0.636792	18.238986	10.152348	0.006464	9.9
154	-0.646861	17.498894	10.347514	0.006809	11.9
155	-0.643774	16.753506	10.551810	0.007037	9.9
156	-0.651925	15.883009	10.800849	0.008653	9.2
157	-0.650130	16.881565	10.516140	0.006450	9.0
158	-0.645230	17.881554	10.245677	0.007831	9.6
159	-0.646494	17.011064	10.480313	0.006470	9.1
160	-0.669577	16.952683	10.496434	0.006044	9.6
161	-0.648693	17.839502	10.256770	0.004608	9.1
162	-0.627679	18.839374	9.999350	0.006237	9.2
163	-0.644710	19.581982	9.816372	0.010099	9.5
164	-0.650745	20.574223	9.582087	0.007172	9.5
165	-0.650344	20.294049	9.647100	0.007857	10.3
166	-0.630458	19.423504	9.854856	0.006523	9.6
167	-0.637252	20.423503	9.616952	0.006544	9.1
168	-0.667630	21.423503	9.390262	0.008181	8.9
