1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
143	-0.861080	369.458876	0.012793	7.9
144	-0.920376	368.553338	0.017552	9.4
145	-0.236830	367.653696	0.009314	10.0
146	-1.452342	366.759885	0.017173	7.4
147	-0.633796	365.871846	0.010189	7.5
148	-0.595787	364.989518	0.021799	7.1
149	-0.000000	364.112841	0.000000	7.1
150	-0.323274	363.241757	0.006514	7.0
151	-0.580796	362.376208	0.005808	6.1
152	-0.386764	361.516137	0.017756	5.9
153	-0.629667	360.661488	0.007672	6.2
154	-0.188145	359.812206	0.005133	6.0
155	-0.000003	358.968236	0.000003	5.6
156	-0.683052	358.129524	0.016758	6.2
157	-0.344487	357.296018	0.005543	6.3
158	-0.649516	356.467665	0.008868	7.6
159	-0.000000	355.644414	0.000000	7.7
160	-0.673958	354.826213	0.006947	7.3
161	-1.390473	354.013012	0.023963	7.1
162	-0.590213	353.204763	0.006057	6.3
163	-0.584610	352.401415	0.016870	6.4
164	-0.489425	351.602922	0.015780	6.4
165	-0.293818	350.809235	0.003014	5.8
166	-0.473696	350.020308	0.016824	6.0
167	-0.000000	349.236095	0.000000	6.2
168	-0.000000	348.456550	0.000000	5.8
169	-0.028118	347.681627	0.000259	5.9
170	-1.244431	346.911283	0.012458	5.9
171	-0.759240	346.145474	0.007618	5.8
172	-0.549024	345.384157	0.011875	6.1
173	-0.766440	344.627288	0.013020	6.0
174	-0.907154	343.874826	0.017508	6.7
175	-0.784564	343.126729	0.017653	6.3
176	-0.433888	342.382957	0.006839	5.5
177	-0.981184	341.643469	0.017788	6.1
178	-0.000000	340.908224	0.000000	5.7
179	-0.527781	340.177184	0.004161	6.1
180	-1.006249	339.450309	0.011282	5.4
181	-0.559105	338.727561	0.006454	6.2
182	-0.398849	338.008902	0.005605	6.4
183	-0.356152	337.294295	0.009384	6.0
184	-0.159514	336.583703	0.008595	6.5
185	-0.443982	335.877089	0.013673	5.7
186	-0.318052	335.174416	0.011650	6.7
187	-0.573905	334.475651	0.034526	5.5
188	-0.429379	333.780756	0.013095	6.1
189	-0.000000	333.089698	0.000000	5.8
190	-1.053587	332.402443	0.005452	5.6
191	-0.762945	331.718955	0.032605	6.4
192	-0.000000	331.039203	0.000000	5.6
193	-0.173309	330.363153	0.003630	6.1
194	-1.699652	329.690771	0.021149	6.2
195	-0.711861	329.022027	0.008560	5.5
196	-0.000000	328.356888	0.000000	5.5
197	-0.000000	327.695322	0.000000	5.0
198	-1.100006	327.037299	0.011685	5.7
199	-0.431594	326.382787	0.018014	5.4
200	-0.241837	325.731758	0.005549	5.6
201	-0.745591	325.084179	0.008048	5.7
202	-1.031182	324.440023	0.007022	5.5
203	-0.000000	323.799258	0.000000	5.4
204	-0.000000	323.161858	0.000000	4.8
205	-0.433876	322.527792	0.006759	4.8
206	-0.545060	321.897034	0.011669	5.4
207	-0.925888	321.269554	0.009114	5.4
208	-0.952235	320.645325	0.017841	5.1
209	-0.000000	320.024320	0.000000	5.0
210	-0.219765	319.406512	0.005113	4.9
211	-0.258950	318.791875	0.001967	5.1
212	-0.504733	318.180381	0.006742	5.3
213	-0.000000	317.572005	0.000000	6.2
214	-0.230975	316.966721	0.007664	6.1
215	-0.855306	316.364504	0.012225	6.4
216	-0.633945	315.765329	0.017728	5.4
217	-0.846190	315.169170	0.012041	5.6
218	-1.065575	314.576003	0.015531	6.7
219	-0.825222	313.985804	0.034425	5.8
220	-0.549182	313.398548	0.006759	6.0
221	-0.382553	312.814213	0.003724	6.8
222	-0.190209	312.232773	0.005311	6.6
223	-1.383830	311.654207	0.014055	6.5
224	-0.748531	311.078491	0.016569	5.1
225	-0.354728	310.505602	0.005408	5.9
226	-0.000000	309.935518	0.000000	5.1
227	-0.000000	309.368217	0.000000	6.0
228	-0.774728	308.803676	0.016682	6.1
229	-0.000000	308.241874	0.000000	6.1
230	-0.701600	307.682789	0.018106	7.4
