1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
0	-0.073253	627.201626	0.003759	2007.8
1	0.000000	623.504937	0.000000	4.1
2	-0.563630	619.865785	0.005361	4.2
3	-0.803368	616.282728	0.009385	4.4
4	-1.322636	612.754375	0.009649	5.2
5	-0.224339	609.279381	0.005585	6.4
6	-0.681952	605.856447	0.008078	9.6
7	-0.232046	602.484317	0.002653	4.4
8	-0.633874	599.161779	0.007193	4.4
9	-0.012119	595.887656	0.000686	4.5
10	-0.864163	592.660813	0.011448	6.4
11	-1.173297	589.480151	0.008994	7.0
12	-0.632693	586.344606	0.011833	7.9
13	-1.053593	583.253145	0.010257	8.3
14	-1.160971	580.204771	0.013961	7.2
15	-0.542886	577.198517	0.009424	7.3
16	-0.876403	574.233444	0.010186	5.6
17	-0.631107	571.308645	0.007771	7.1
18	-0.989917	568.423237	0.010034	7.9
19	-0.993813	565.576365	0.018709	5.2
20	-0.190595	562.767201	0.005440	4.3
21	-0.678395	559.994938	0.006308	4.5
22	-0.636212	557.258797	0.011273	4.3
23	-0.167145	554.558018	0.007543	4.8
24	-0.529840	551.891865	0.007749	5.0
25	-0.243615	549.259621	0.003764	5.4
26	-1.225789	546.660592	0.015389	5.3
27	-0.131721	544.094102	0.007738	4.9
28	-0.161086	541.559494	0.009198	4.2
29	-0.817087	539.056129	0.011861	3.8
30	-0.333405	536.583387	0.006158	4.8
31	-1.448189	534.140663	0.014252	5.0
32	-1.068782	531.727370	0.018032	4.5
33	-0.061564	529.342935	0.004404	5.1
34	-0.612370	526.986802	0.006982	6.4
35	-0.348159	524.658430	0.013124	7.6
36	-0.705014	522.357290	0.009770	5.3
37	0.000000	520.082868	0.000000	4.3
38	-1.206688	517.834665	0.010501	6.0
39	-0.203152	515.612193	0.004812	5.8
40	-0.592152	513.414976	0.008513	7.1
41	-0.874486	511.242551	0.007400	7.6
42	-0.629907	509.094468	0.007337	7.4
43	-1.073492	506.970285	0.014044	6.1
44	-0.840045	504.869574	0.015715	8.0
45	-1.206789	502.791916	0.031772	7.3
46	-0.871798	500.736903	0.019465	5.7
47	0.000000	498.704137	0.000000	7.4
48	-0.445691	496.693228	0.005097	5.8
49	-0.697963	494.703798	0.005965	5.3
50	-0.144338	492.735476	0.002089	6.0
51	-0.555548	490.787900	0.009987	6.1
52	-1.330408	488.860718	0.017720	6.2
53	0.000000	486.953585	0.000000	5.1
54	-0.592475	485.066164	0.013532	5.0
55	-0.907714	483.198126	0.009071	5.1
56	-0.726557	481.349149	0.009204	6.0
57	-1.307735	479.518920	0.024937	6.2
58	-0.033536	477.707132	0.001774	5.7
59	-0.454957	475.913485	0.005150	5.4
60	-0.216952	474.137684	0.004758	6.0
61	-0.857028	472.379445	0.012108	4.7
62	-0.655862	470.638485	0.009005	5.1
63	-0.644053	468.914531	0.020086	5.9
64	-0.648188	467.207315	0.007992	5.2
65	-0.907814	465.516573	0.012888	5.6
66	-0.278180	463.842050	0.004535	5.0
67	-0.583374	462.183494	0.008579	5.2
68	-0.518716	460.540658	0.007004	5.2
69	-0.973128	458.913303	0.008314	6.6
70	-1.402129	457.301192	0.030212	5.2
71	-1.079012	455.704096	0.014578	5.1
72	-0.868445	454.121787	0.009601	5.5
73	-0.252703	452.554045	0.005053	8.9
74	-0.338304	451.000653	0.005380	5.7
75	-0.760095	449.461399	0.024142	9.4
76	0.000000	447.936075	0.000000	4.4
77	-0.660951	446.424477	0.010649	5.3
78	-0.455141	444.926406	0.009086	5.3
79	-0.530636	443.441666	0.011568	5.2
80	-0.745604	441.970065	0.011507	6.4
81	-0.292238	440.511415	0.006720	6.4
82	-0.463122	439.065533	0.008555	6.0
83	-0.345676	437.632238	0.005460	9.3
84	-0.000000	436.211351	0.000000	5.4
85	-0.678803	434.802701	0.016385	10.2
86	-0.975797	433.406117	0.017042	5.0
87	-0.596323	432.021430	0.011807	5.3
88	-0.334479	430.648479	0.004121	5.4
89	0.000000	429.287101	0.000000	5.0
90	-0.539967	427.937140	0.006571	5.1
91	-0.036991	426.598440	0.000365	5.4
92	-0.706535	425.270849	0.009982	5.0
93	-0.211934	423.954220	0.009726	5.6
94	-0.558546	422.648404	0.007549	6.8
95	-0.601052	421.353259	0.008325	6.0
96	-0.577069	420.068643	0.006904	5.5
97	-1.333399	418.794419	0.033111	5.0
98	-1.151812	417.530451	0.014729	5.0
99	-0.898341	416.276604	0.011730	6.8
100	0.000000	415.032748	0.000000	4.5
101	-0.626413	413.798754	0.009046	5.3
102	-0.061520	412.574495	0.001132	5.4
103	-0.665074	411.359849	0.012048	5.2
104	0.000000	410.154691	0.000000	5.1
105	-0.093323	408.958904	0.006833	5.1
106	-0.479088	407.772368	0.005675	4.4
107	-0.746675	406.594968	0.011226	5.3
108	0.000000	405.426590	0.000000	5.3
109	-0.402824	404.267122	0.007700	4.4
110	0.000000	403.116456	0.000000	5.5
111	-0.235190	401.974481	0.005281	6.4
112	-0.446715	400.841093	0.004960	7.2
113	-0.242895	399.716187	0.005122	7.5
114	-0.558326	398.599660	0.019251	7.2
115	-0.824448	397.491411	0.014589	4.5
116	-0.721333	396.391342	0.017298	4.7
117	-0.354974	395.299353	0.005779	4.3
118	-0.583669	394.215350	0.008840	6.8
119	-0.474315	393.139238	0.005085	6.3
120	-1.082847	392.070924	0.011994	5.1
121	-1.161212	391.010316	0.037163	4.5
122	-0.166643	389.957325	0.003405	4.3
123	-0.216712	388.911862	0.011197	5.0
124	-0.727459	387.873839	0.005327	6.3
125	-0.567080	386.843173	0.019540	5.6
126	-0.322659	385.819777	0.003764	5.1
127	0.000000	384.803569	0.000000	4.8
128	0.000000	383.794468	0.000000	4.4
129	-1.306588	382.792393	0.017989	13.0
130	-0.000001	381.797264	0.000001	6.3
131	-0.000005	380.809005	0.000000	7.0
132	-0.870219	379.827537	0.008996	7.1
