1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
0	-0.539864	627.201626	0.009446	2027.2
1	-1.184014	623.504937	0.009006	5.0
2	-0.498754	619.865785	0.004704	5.0
3	-0.851838	616.282728	0.012835	4.9
4	-0.000000	612.754375	0.000000	5.2
5	-0.810714	609.279381	0.030783	5.2
6	-0.987742	605.856447	0.006653	5.1
7	-0.658142	602.484317	0.013539	5.0
8	-0.638149	599.161779	0.007910	5.2
9	-0.000000	595.887656	0.000000	5.6
10	-0.475294	592.660813	0.005701	7.2
11	-0.448638	589.480151	0.005990	6.6
12	-0.234288	586.344606	0.003515	6.2
13	-0.120039	583.253145	0.004906	5.3
14	-0.009742	580.204771	0.000705	5.5
15	-0.850672	577.198517	0.007529	4.9
16	-0.000000	574.233444	0.000000	5.8
17	-1.017730	571.308645	0.009351	6.0
18	-1.147001	568.423237	0.014557	4.8
19	-0.740716	565.576365	0.005750	5.9
20	-0.000000	562.767201	0.000000	4.8
21	-0.767483	559.994938	0.004746	5.1
22	-0.425831	557.258797	0.011160	5.3
23	-0.798590	554.558018	0.009344	6.0
24	-0.000000	551.891865	0.000000	5.6
25	-0.170188	549.259621	0.002789	4.9
26	-0.492861	546.660592	0.005017	5.3
27	-0.904763	544.094102	0.005917	5.8
28	-0.996576	541.559494	0.018586	5.1
29	-0.598285	539.056129	0.013126	5.0
30	-0.381283	536.583387	0.010414	4.9
31	-0.712300	534.140663	0.010522	5.1
32	-0.393754	531.727370	0.005663	5.8
33	-0.582091	529.342935	0.010819	4.2
34	-1.158640	526.986802	0.019181	4.6
35	-0.216635	524.658430	0.004124	4.7
36	-0.000000	522.357290	0.000000	4.7
37	-0.285894	520.082868	0.007575	4.9
38	-0.000000	517.834665	0.000000	5.8
39	-0.672365	515.612193	0.005951	6.1
40	-1.223448	513.414976	0.009091	7.1
41	-0.655234	511.242551	0.021360	5.8
42	-1.128948	509.094468	0.025146	4.9
43	-1.072839	506.970285	0.016448	6.0
44	-0.000000	504.869574	0.000000	4.4
45	-1.271793	502.791916	0.017106	4.7
46	-0.396904	500.736903	0.008154	5.0
47	-0.462502	498.704137	0.005833	5.1
48	-0.970727	496.693228	0.015992	5.0
49	-0.488336	494.703798	0.007866	4.9
50	-0.692110	492.735476	0.012369	5.0
51	-0.012343	490.787900	0.002540	4.7
52	-0.659173	488.860718	0.011037	4.7
53	-0.000000	486.953585	0.000000	5.8
54	-1.082479	485.066164	0.008778	5.4
55	-1.073994	483.198126	0.029344	4.7
56	-0.299637	481.349149	0.007246	5.7
57	-1.089028	479.518920	0.011341	5.6
58	-0.450426	477.707132	0.008097	5.2
59	-0.644650	475.913485	0.004922	5.5
60	-1.067626	474.137684	0.013137	5.1
61	-1.049987	472.379445	0.006560	5.2
62	-0.438641	470.638485	0.004644	5.8
63	-0.687394	468.914531	0.016185	5.7
64	-0.576645	467.207315	0.007944	5.0
65	-0.360882	465.516573	0.008830	5.7
66	-1.399362	463.842050	0.020037	5.2
67	-0.694177	462.183494	0.017627	4.7
68	-0.789677	460.540658	0.024629	5.3
69	-1.313590	458.913303	0.016583	5.2
70	-0.018995	457.301192	0.000146	5.5
71	-0.362444	455.704096	0.006389	7.0
72	-0.495808	454.121787	0.007018	6.0
73	-0.657957	452.554045	0.007171	5.3
74	-0.846946	451.000653	0.009049	5.5
75	-0.079935	449.461399	0.001191	6.0
76	-1.074271	447.936075	0.011618	6.2
77	-0.256576	446.424477	0.007745	5.5
78	-0.301645	444.926406	0.003228	6.1
79	-0.443558	443.441666	0.007670	5.4
80	-0.673824	441.970065	0.011914	5.4
81	-0.989483	440.511415	0.016032	4.9
82	-0.000000	439.065533	0.000000	3.7
83	-0.561590	437.632238	0.023908	5.4
84	-1.331756	436.211351	0.022973	6.8
85	-1.069474	434.802701	0.031578	5.4
86	-0.902072	433.406117	0.005986	5.8
87	-0.000047	432.021430	0.000018	5.4
