1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.696852	0.000000	48.309645	0.004691	3557.9
1	-0.694209	0.000000	48.309645	0.006420	8.6
2	-0.709426	0.999914	46.113932	0.005157	8.5
3	-0.704458	0.357144	47.501789	0.008031	11.6
4	-0.695533	1.357144	45.377108	0.004102	10.9
5	-0.705588	0.714379	46.720312	0.007102	8.4
6	-0.702611	1.008522	46.095896	0.003999	8.7
7	-0.687145	2.008522	44.092469	0.006399	8.1
8	-0.696806	3.008522	42.255936	0.004955	7.9
9	-0.706678	4.008522	40.566275	0.007022	7.9
10	-0.683146	5.008522	39.006544	0.006374	7.8
11	-0.694400	6.008521	37.562314	0.005581	8.0
12	-0.685875	7.008521	36.221212	0.009955	10.3
13	-0.685805	8.008521	34.972571	0.006337	11.2
14	-0.696012	9.008521	33.807150	0.004681	10.7
15	-0.681918	10.008521	32.716896	0.007898	9.0
16	-0.713122	11.008519	31.694767	0.004266	8.3
17	-0.690180	12.008510	30.734576	0.006861	8.4
18	-0.698968	13.008510	29.830844	0.006212	8.2
19	-0.698086	14.008510	28.978741	0.004969	8.3
20	-0.696282	14.999932	28.180679	0.003339	9.0
21	-0.703037	14.358731	28.691713	0.007136	8.8
22	-0.691400	15.358731	27.902584	0.005753	9.1
23	-0.707356	14.715961	28.404739	0.006205	8.8
24	-0.691601	15.715961	27.631104	0.004797	8.1
25	-0.690580	15.073216	28.123430	0.007177	9.3
26	-0.693923	16.073216	27.364838	0.006829	8.2
27	-0.699586	17.071953	26.646979	0.004604	7.9
28	-0.703508	16.429183	27.104587	0.007236	8.5
29	-0.698641	15.786415	27.578185	0.006198	8.4
30	-0.678055	16.786415	26.848341	0.008785	8.6
31	-0.700741	17.786415	26.156131	0.005028	9.3
32	-0.691223	18.786415	25.498718	0.004926	7.8
33	-0.689894	19.786366	24.873570	0.004853	7.8
34	-0.695122	20.743987	24.302963	0.006177	8.6
35	-0.686993	20.101217	24.683030	0.004955	9.1
36	-0.691891	19.458447	25.075173	0.005769	8.7
37	-0.689200	20.292626	24.568613	0.004930	8.7
38	-0.701860	20.696157	24.330840	0.009818	7.8
39	-0.704121	20.053387	24.711787	0.009830	8.5
40	-0.692513	19.695900	24.928864	0.006175	8.6
41	-0.690153	20.695900	24.330990	0.005415	9.3
42	-0.695733	21.695900	23.761123	0.007218	8.5
43	-0.693699	22.695900	23.217339	0.003551	10.0
44	-0.693278	22.194944	23.486604	0.004976	8.4
45	-0.688457	21.552436	23.841233	0.006407	9.0
46	-0.700938	20.912238	24.205402	0.008262	8.4
47	-0.701125	21.912238	23.641334	0.005661	8.5
48	-0.688580	22.912238	23.102957	0.005508	8.2
49	-0.702530	23.912238	22.588555	0.005050	8.1
50	-0.690804	24.912233	22.096563	0.005707	8.3
51	-0.705118	24.269463	22.410307	0.005666	7.9
52	-0.703542	25.269463	21.925963	0.005729	8.1
53	-0.687402	26.263520	21.464812	0.005924	8.5
