1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
143	-0.828510	369.458876	0.007378	6.1
144	-0.678181	368.553338	0.007302	4.7
145	-0.600583	367.653696	0.014478	5.3
146	-1.302791	366.759885	0.008113	7.5
147	-0.541721	365.871846	0.007799	5.8
148	-0.592114	364.989518	0.006029	5.7
149	-0.047307	364.112841	0.001141	4.9
150	-0.504297	363.241757	0.009579	5.3
151	-0.716029	362.376208	0.010012	4.7
152	-0.448639	361.516137	0.009083	5.2
153	-0.580225	360.661488	0.013499	6.5
154	-0.161451	359.812206	0.001526	6.3
155	-0.000000	358.968236	0.000000	4.7
156	-0.405062	358.129524	0.003606	5.3
157	-0.419099	357.296018	0.014620	6.3
158	-0.988339	356.467665	0.009808	5.2
159	-0.000005	355.644414	0.000005	5.4
160	-0.539014	354.826213	0.010172	5.7
161	-1.212375	354.013012	0.017559	5.7
162	-0.625197	353.204763	0.003910	5.2
163	-0.845431	352.401415	0.016624	4.7
164	-0.416294	351.602922	0.003461	5.0
165	-0.581431	350.809235	0.005360	5.3
166	-0.344703	350.020308	0.006667	5.3
167	-0.218927	349.236095	0.009491	3.9
168	-0.000000	348.456550	0.000000	4.5
169	-0.137646	347.681627	0.007478	4.8
170	-0.751916	346.911283	0.012149	5.0
171	-0.690041	346.145474	0.008493	5.0
172	-0.565782	345.384157	0.007845	5.1
173	-0.711969	344.627288	0.006858	5.4
174	-0.449155	343.874826	0.005942	6.2
175	-0.591942	343.126729	0.016431	4.9
176	-0.758043	342.382957	0.011610	4.9
177	-0.042708	341.643469	0.000298	5.5
178	-0.000000	340.908224	0.000000	4.5
179	-0.549682	340.177184	0.015369	5.7
180	-0.753446	339.450309	0.004624	5.1
181	-0.828741	338.727561	0.008382	5.1
182	-0.289260	338.008902	0.007816	4.5
183	-0.539146	337.294295	0.009899	4.9
184	-0.685564	336.583703	0.012609	4.9
185	-0.355857	335.877089	0.008710	5.5
186	-0.590081	335.174416	0.008386	6.1
187	-0.741729	334.475651	0.014688	6.1
188	-0.564006	333.780756	0.012095	6.0
189	-0.003349	333.089698	0.000181	5.4
190	-0.535200	332.402443	0.010814	5.6
191	-0.671380	331.718955	0.008704	5.3
192	-0.000000	331.039203	0.000000	6.0
193	-0.190056	330.363153	0.003343	5.2
