1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.623698	0.000000	7.798261	0.007531	3599.6
1	-0.644593	0.000000	7.798261	0.006830	8.4
2	-0.640547	0.965468	7.455497	0.005826	8.1
3	-0.643473	1.052100	7.426207	0.008354	8.2
4	-0.637749	0.718060	7.540428	0.004439	8.5
5	-0.621802	1.717371	7.208734	0.006223	10.5
6	-0.647384	1.351495	7.326734	0.006783	10.4
7	-0.643846	1.481919	7.284230	0.007016	9.2
8	-0.645454	0.671161	7.556747	0.003506	9.0
9	-0.640598	0.270080	7.699241	0.006642	8.8
10	-0.640917	0.033446	7.785860	0.004816	9.4
11	-0.642291	0.000000	7.798261	0.006175	8.5
12	-0.655603	0.804162	7.510652	0.007670	8.0
13	-0.647055	1.739177	7.201821	0.009678	7.9
14	-0.647767	1.500278	7.278286	0.004483	7.8
15	-0.642523	2.500236	6.968588	0.004353	8.8
16	-0.644197	1.795524	7.184019	0.008477	9.4
17	-0.647360	2.662194	6.920891	0.009109	7.9
18	-0.648946	3.662066	6.640298	0.005307	9.2
19	-0.647632	4.655512	6.383169	0.006251	8.3
20	-0.641076	5.418964	6.198709	0.008417	8.2
21	-0.663206	6.249005	6.009888	0.005366	8.3
22	-0.634087	7.247227	5.797506	0.007610	8.3
23	-0.657126	6.355054	5.986589	0.008452	8.2
24	-0.648289	5.405243	6.201930	0.007335	9.2
25	-0.656674	6.404353	5.975820	0.008420	10.2
26	-0.638997	5.454336	6.190421	0.005644	8.1
27	-0.653523	6.454331	5.964941	0.005055	10.6
28	-0.647369	6.662775	5.919994	0.008054	8.3
29	-0.661923	7.587745	5.728450	0.008861	8.8
30	-0.630545	8.575696	5.537096	0.007957	8.1
31	-0.640254	9.575690	5.356002	0.005901	7.8
32	-0.650650	10.575652	5.186385	0.006390	7.8
33	-0.648650	9.774136	5.321465	0.009178	7.8
34	-0.637365	8.897959	5.477413	0.006158	8.3
35	-0.647648	9.258483	5.412151	0.008066	8.0
36	-0.658365	10.255376	5.239530	0.007928	8.1
37	-0.647458	10.741546	5.159278	0.004573	7.9
38	-0.644229	9.991716	5.284105	0.006148	9.0
39	-0.651430	10.696687	5.166580	0.005197	8.7
40	-0.643076	9.747871	5.326010	0.007662	7.9
41	-0.650004	10.743876	5.158900	0.006508	8.5
42	-0.630129	9.797719	5.317390	0.004103	8.8
43	-0.625424	10.477316	5.202587	0.010623	8.3
44	-0.643203	11.295173	5.070834	0.007595	8.1
45	-0.639399	10.345972	5.224386	0.009038	8.3
46	-0.638800	9.395960	5.387672	0.008718	8.9
47	-0.640440	8.445922	5.561499	0.009465	9.4
48	-0.651130	7.497145	5.746662	0.005511	9.4
49	-0.657196	6.547176	5.944837	0.007064	9.7
50	-0.638813	6.608227	5.931691	0.007915	9.0
51	-0.638873	5.661704	6.142273	0.010243	8.4
52	-0.638963	4.711890	6.369173	0.006580	9.2
53	-0.652284	3.764059	6.612950	0.006741	8.1
54	-0.653419	3.716461	6.625684	0.008130	8.3
55	-0.650788	2.770096	6.889474	0.006784	8.7
56	-0.651668	1.820161	7.176263	0.006035	10.1
57	-0.643860	2.814382	6.876663	0.007543	9.4
58	-0.656928	3.808545	6.601091	0.009505	8.2
59	-0.645055	4.774700	6.353652	0.005801	8.1
60	-0.645459	3.824665	6.596805	0.007433	8.1
61	-0.633869	2.899126	6.852279	0.007070	8.5
62	-0.654866	2.910197	6.849106	0.005879	8.4
63	-0.632787	1.960373	7.132440	0.005264	9.0
64	-0.643051	2.775132	6.888015	0.004048	9.0
65	-0.648692	3.074777	6.802284	0.006567	8.9
66	-0.629995	2.548655	6.954260	0.008258	8.6
67	-0.646083	3.547524	6.671283	0.006093	8.3
68	-0.636339	4.532518	6.413918	0.011214	8.4
69	-0.636751	5.532454	6.172195	0.003406	8.3
70	-0.654669	6.435975	5.968932	0.006813	8.4
71	-0.653570	7.425266	5.761194	0.011076	8.1
72	-0.650744	7.526114	5.740826	0.004173	8.0
73	-0.651004	8.524907	5.546621	0.006324	8.0
74	-0.643117	8.753788	5.503954	0.006157	8.0
75	-0.633768	9.465537	5.375368	0.004787	8.3
76	-0.643823	10.176291	5.252821	0.005532	8.5
77	-0.659611	9.279388	5.408414	0.009424	8.0
78	-0.662769	8.330982	5.583293	0.007204	8.2
79	-0.655577	7.394484	5.767440	0.009525	9.7
80	-0.641329	6.472680	5.960957	0.008187	10.0
81	-0.640888	7.472646	5.751607	0.006456	8.2
82	-0.648832	8.432349	5.564064	0.007136	8.1
83	-0.642451	7.499805	5.746126	0.009770	8.4
84	-0.637646	7.274586	5.791896	0.004162	8.6
85	-0.651251	6.463898	5.962863	0.007603	8.5
86	-0.630509	6.897275	5.870232	0.004488	8.3
87	-0.624867	7.852688	5.675848	0.008350	8.4
88	-0.644041	7.545724	5.736883	0.007625	8.3
89	-0.633977	8.075044	5.632441	0.008508	8.9
90	-0.642187	8.615934	5.529573	0.007830	8.2
91	-0.654967	7.746761	5.696763	0.007747	8.0
92	-0.641600	8.725214	5.509244	0.003654	7.8
93	-0.654792	8.522103	5.547148	0.005461	7.9
94	-0.661292	8.243879	5.599923	0.010024	10.2
95	-0.656617	8.054180	5.636486	0.006013	9.6
96	-0.645196	8.014080	5.644276	0.006965	8.7
97	-0.632227	7.278773	5.791039	0.004029	9.6
98	-0.639498	8.256224	5.597560	0.005345	8.9
99	-0.628111	7.397138	5.766901	0.008476	9.0
