1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.280402	0.000000	48.728503	0.006699	3604.1
1	-0.295297	0.000000	48.728503	0.009411	9.4
2	-0.287175	0.000000	48.728503	0.006213	9.4
3	-0.296888	0.000000	48.728503	0.007959	11.5
4	-0.315000	0.000000	48.728503	0.006924	8.9
5	-0.303864	0.000000	48.728503	0.009045	8.5
6	-0.313068	0.000000	48.728503	0.006759	8.4
7	-0.313921	0.000000	48.728503	0.006451	8.7
8	-0.307143	0.000000	48.728503	0.008064	8.3
9	-0.314930	0.000000	48.728503	0.007636	8.4
10	-0.324334	0.000000	48.728503	0.008519	9.3
11	-0.326780	0.000000	48.728503	0.008514	8.7
12	-0.337402	0.000000	48.728503	0.007853	9.4
13	-0.330790	0.000000	48.728503	0.009450	8.8
14	-0.344347	0.000000	48.728503	0.008154	8.3
15	-0.348295	0.000000	48.728503	0.010668	8.2
16	-0.355819	0.000000	48.728503	0.009050	8.1
17	-0.359268	0.000000	48.728503	0.008646	8.3
18	-0.360697	0.000000	48.728503	0.009482	8.5
19	-0.350458	0.000000	48.728503	0.009207	9.0
20	-0.354571	0.000000	48.728503	0.010194	8.7
21	-0.365900	0.000000	48.728503	0.010320	8.3
22	-0.368974	0.000000	48.728503	0.009582	8.2
23	-0.370779	0.000000	48.728503	0.009605	8.3
24	-0.370411	0.000000	48.728503	0.009749	8.4
25	-0.368178	0.000000	48.728503	0.011565	8.3
26	-0.387280	0.000000	48.728503	0.010709	9.5
27	-0.389564	0.000000	48.728503	0.010142	9.6
28	-0.396682	0.000000	48.728503	0.009916	8.4
29	-0.394092	0.000000	48.728503	0.010998	8.1
30	-0.411516	0.000000	48.728503	0.010886	8.0
31	-0.392702	0.000000	48.728503	0.010783	9.4
32	-0.429815	0.000000	48.728503	0.010751	9.7
33	-0.423371	0.000000	48.728503	0.012806	8.4
34	-0.436419	0.000000	48.728503	0.011095	8.0
35	-0.442822	0.000000	48.728503	0.011819	8.3
36	-0.455967	0.000000	48.728503	0.011079	8.1
37	-0.444575	0.000000	48.728503	0.009871	8.2
38	-0.455782	0.000000	48.728503	0.012217	8.4
39	-0.463499	0.000000	48.728503	0.012291	8.5
40	-0.453184	0.000000	48.728503	0.013632	8.2
41	-0.476486	0.000000	48.728503	0.012892	8.0
42	-0.469821	0.000000	48.728503	0.012124	8.0
43	-0.479033	0.000000	48.728503	0.012501	8.0
44	-0.494558	0.000000	48.728503	0.014051	8.2
45	-0.501427	0.000000	48.728503	0.012518	8.8
46	-0.516625	0.000000	48.728503	0.012259	9.1
47	-0.505370	0.000000	48.728503	0.012087	8.1
48	-0.535404	0.000000	48.728503	0.014209	8.6
49	-0.519726	0.000000	48.728503	0.012986	8.1
50	-0.544502	0.000000	48.728503	0.014383	8.5
51	-0.553817	0.000000	48.728503	0.014765	9.0
52	-0.566610	0.000000	48.728503	0.015518	8.9
53	-0.587997	0.000000	48.728503	0.013004	9.5
54	-0.581538	0.000000	48.728503	0.012864	10.6
55	-0.587806	0.000000	48.728503	0.012764	9.7
56	-0.585019	0.000000	48.728503	0.012482	9.3
57	-0.584259	0.000000	48.728503	0.012344	10.5
58	-0.608104	0.000000	48.728503	0.012634	9.8
59	-0.612241	0.000000	48.728503	0.010650	9.6
60	-0.628821	0.000000	48.728503	0.009713	10.0
61	-0.629069	0.000000	48.728503	0.011269	9.5
62	-0.631730	0.000000	48.728503	0.012083	9.4
63	-0.639030	0.000000	48.728503	0.009720	11.8
64	-0.643807	0.000000	48.728503	0.010420	10.9
65	-0.647639	0.000000	48.728503	0.010396	9.6
66	-0.636068	0.000000	48.728503	0.008423	10.3
67	-0.640760	0.000000	48.728503	0.010468	10.8
68	-0.658347	0.000000	48.728503	0.011146	10.0
69	-0.640676	0.000000	48.728503	0.011263	9.7
70	-0.663141	0.000000	48.728503	0.009621	9.8
71	-0.671373	0.000000	48.728503	0.009467	9.0
72	-0.671361	0.000000	48.728503	0.008301	8.2
73	-0.662029	0.000000	48.728503	0.010570	8.1
74	-0.683403	0.000000	48.728503	0.009696	8.6
75	-0.692787	0.000000	48.728503	0.010805	8.2
76	-0.699341	0.000000	48.728503	0.008132	8.1
77	-0.697459	0.000000	48.728503	0.010109	9.0
78	-0.689014	0.000000	48.728503	0.008364	9.4
79	-0.694907	0.000000	48.728503	0.009639	9.3
80	-0.719192	0.000000	48.728503	0.009309	8.5
81	-0.709398	0.000000	48.728503	0.008309	8.7
82	-0.696354	0.000000	48.728503	0.009464	8.7
83	-0.709417	0.000000	48.728503	0.007210	9.1
84	-0.713344	0.000000	48.728503	0.008063	8.8
85	-0.732415	0.000000	48.728503	0.010482	9.6
86	-0.725349	0.000000	48.728503	0.007734	9.9
87	-0.731601	0.000000	48.728503	0.008624	9.5
88	-0.725642	0.000000	48.728503	0.006659	8.7
89	-0.729789	0.000000	48.728503	0.005721	10.1
90	-0.729342	0.000000	48.728503	0.007700	10.7
91	-0.753651	0.000000	48.728503	0.007815	9.2
92	-0.747425	0.000000	48.728503	0.006465	8.6
93	-0.722418	0.000000	48.728503	0.007200	7.9
94	-0.757916	0.000000	48.728503	0.006489	8.5
95	-0.746565	0.000000	48.728503	0.007137	7.8
96	-0.760519	0.000000	48.728503	0.006751	7.7
97	-0.745513	0.000000	48.728503	0.006653	8.0
98	-0.749979	0.000000	48.728503	0.006971	8.7
99	-0.757661	0.000000	48.728503	0.007982	9.1
100	-0.755224	0.000000	48.728503	0.006523	8.8
101	-0.767499	0.000000	48.728503	0.008038	7.9
102	-0.759803	0.000000	48.728503	0.007915	7.9
103	-0.767328	0.000000	48.728503	0.006370	8.5
104	-0.772758	0.000000	48.728503	0.007237	8.6
105	-0.757901	0.000000	48.728503	0.006927	8.0
106	-0.760972	0.000000	48.728503	0.006003	7.9
107	-0.767607	0.000000	48.728503	0.008344	7.9
108	-0.770016	1.000000	46.513571	0.006652	8.6
109	-0.762290	0.871600	46.786635	0.007455	8.2
110	-0.757440	0.743199	47.062924	0.006149	8.2
111	-0.768186	0.614799	47.342496	0.008895	7.8
112	-0.773055	0.486399	47.625410	0.005138	7.8
113	-0.770179	0.357999	47.911725	0.008160	7.9
114	-0.773239	0.229598	48.201503	0.006241	7.8
115	-0.772798	1.158725	46.180390	0.005137	7.8
116	-0.787071	1.030325	46.449545	0.006389	9.1
117	-0.781399	0.901924	46.721856	0.006519	8.4
118	-0.778865	0.773524	46.997379	0.007860	10.1
119	-0.791016	0.645124	47.276170	0.007698	10.3
120	-0.769298	0.516723	47.558289	0.005412	8.1
121	-0.778059	0.388323	47.843795	0.004629	8.0
